type,latitude,longitude,name,desc
W,9.023100000,38.746680000,WP114,
W,9.022950000,38.746780000,WP115,
W,9.022850000,38.746860000,WP116,
W,9.022710000,38.746950000,WP117,
W,9.022550000,38.747060000,WP118,
W,9.022470000,38.747120000,WP119,
W,9.022280000,38.747240000,WP120,
W,9.022140000,38.747350000,WP121,
W,9.022060000,38.747400000,WP122,
W,9.022010000,38.747440000,WP123,
W,9.021880000,38.747520000,WP124,
W,9.021770000,38.747580000,WP125,
W,9.021620000,38.747640000,WP126,
W,9.021530000,38.747620000,WP127,
W,9.021470000,38.747640000,WP128,
W,9.021400000,38.747650000,WP129,
W,9.021300000,38.747650000,WP130,
W,9.021300000,38.747650000,WP131,
W,9.021190000,38.747630000,WP132,
W,9.021110000,38.747590000,WP133,
W,9.021020000,38.747560000,WP134,
W,9.020970000,38.747560000,WP135,
W,9.020940000,38.747600000,WP136,
W,9.020910000,38.747650000,WP137,
W,9.020930000,38.747790000,WP138,
W,9.020960000,38.747950000,WP139,
W,9.020970000,38.748090000,WP140,
W,9.020990000,38.748200000,WP141,
W,9.020980000,38.748310000,WP142,
W,9.020990000,38.748420000,WP143,
W,9.020970000,38.748550000,WP144,
W,9.021030000,38.748670000,WP145,
W,9.021040000,38.748850000,WP146,
W,9.021030000,38.749030000,WP147,
W,9.021050000,38.749180000,WP148,
W,9.021110000,38.749370000,WP149,
W,9.021090000,38.749610000,WP150,
W,9.021100000,38.749780000,WP151,
W,9.021120000,38.749910000,WP152,
W,9.021130000,38.750060000,WP153,
W,9.021180000,38.750230000,WP154,
W,9.021170000,38.750390000,WP155,
W,9.021190000,38.750540000,WP156,
W,9.021220000,38.750680000,WP157,
W,9.021230000,38.750810000,WP158,
W,9.021230000,38.750890000,WP159,
W,9.021240000,38.751070000,WP160,
W,9.021250000,38.751210000,WP161,
W,9.021270000,38.751430000,WP162,
W,9.021280000,38.751560000,WP163,
W,9.021300000,38.751710000,WP164,
W,9.021290000,38.751800000,WP165,
W,9.021310000,38.751930000,WP166,
W,9.021310000,38.752020000,WP167,
W,9.021320000,38.752120000,WP168,
W,9.021340000,38.752210000,WP169,
W,9.021350000,38.752300000,WP170,
W,9.021350000,38.752510000,WP171,
W,9.021380000,38.752710000,WP172,
W,9.021430000,38.752860000,WP173,
W,9.021410000,38.752960000,WP174,
W,9.021410000,38.753050000,WP175,
W,9.021400000,38.753160000,WP176,
W,9.021430000,38.753240000,WP177,
W,9.021430000,38.753310000,WP178,
W,9.021470000,38.753390000,WP179,
W,9.021480000,38.753530000,WP180,
W,9.021500000,38.753630000,WP181,
W,9.021560000,38.753770000,WP182,
W,9.021590000,38.753940000,WP183,
W,9.021640000,38.754190000,WP184,
W,9.021670000,38.754380000,WP185,
W,9.021700000,38.754490000,WP186,
W,9.021710000,38.754640000,WP187,
W,9.021700000,38.754760000,WP188,
W,9.021700000,38.754900000,WP189,
W,9.021710000,38.755020000,WP190,
W,9.021720000,38.755150000,WP191,
W,9.021710000,38.755250000,WP192,
W,9.021700000,38.755380000,WP193,
W,9.021720000,38.755500000,WP194,
W,9.021670000,38.755580000,WP195,
W,9.021590000,38.755600000,WP196,
W,9.021520000,38.755620000,WP197,
W,9.021440000,38.755620000,WP198,
W,9.021310000,38.755640000,WP199,
W,9.021140000,38.755650000,WP200,
W,9.021070000,38.755650000,WP201,
W,9.020950000,38.755710000,WP202,
W,9.020860000,38.755730000,WP203,
W,9.020770000,38.755780000,WP204,
W,9.020670000,38.755830000,WP205,
W,9.020590000,38.755890000,WP206,
W,9.020500000,38.755930000,WP207,
W,9.020430000,38.755960000,WP208,
W,9.020310000,38.756030000,WP209,
W,9.020270000,38.756090000,WP210,
W,9.020160000,38.756140000,WP211,
W,9.020020000,38.756220000,WP212,
W,9.019970000,38.756230000,WP213,
W,9.019910000,38.756250000,WP214,
W,9.019840000,38.756270000,WP215,
W,9.019770000,38.756290000,WP216,
W,9.019720000,38.756330000,WP217,
