type,latitude,longitude,name,desc
W,9.012910000,38.744630000,WP01-A,
W,9.013210000,38.744680000,WP02-B,
W,9.013500000,38.744690000,WP03-C,
W,9.013750000,38.744670000,WP04-D,
W,9.014040000,38.744660000,WP05-E,
W,9.014320000,38.744660000,WP06-F,
W,9.014640000,38.744660000,WP07-G,
W,9.014900000,38.744660000,WP08-H,
W,9.015230000,38.744660000,WP09-I,
W,9.015520000,38.744660000,WP10-J,
W,9.015860000,38.744670000,WP11-K,
W,9.016130000,38.744670000,WP12-L,
W,9.016430000,38.744700000,WP13-M,
W,9.016700000,38.744680000,WP14-N,
W,9.016990000,38.744690000,WP15-O,
W,9.017330000,38.744670000,WP16-P,
W,9.017610000,38.744670000,WP17-Q,
W,9.017910000,38.744670000,WP18-R,
W,9.018180000,38.744670000,WP19-S,
W,9.018450000,38.744660000,WP20-T,
W,9.018720000,38.744670000,WP21-U,
W,9.019020000,38.744670000,WP22-V,
W,9.019340000,38.744680000,WP23-W,
W,9.019640000,38.744660000,WP24-X,
W,9.020000000,38.744660000,WP25-Y,
W,9.020310000,38.744650000,WP26-Z,
W,9.020590000,38.744650000,WP27,
W,9.020900000,38.744630000,WP28,
W,9.021140000,38.744630000,WP29,
W,9.021440000,38.744580000,WP30,
W,9.021730000,38.744550000,WP31,
W,9.022020000,38.744500000,WP32,
W,9.022290000,38.744450000,WP33,
W,9.022550000,38.744370000,WP34,
W,9.022780000,38.744270000,WP35,
W,9.023040000,38.744150000,WP36,
W,9.023270000,38.744040000,WP37,
W,9.023490000,38.743950000,WP38,
W,9.023760000,38.743840000,WP39,
W,9.024130000,38.743630000,WP40,
W,9.024420000,38.743550000,WP41,
W,9.024570000,38.743460000,WP42,
W,9.024810000,38.743350000,WP43,
W,9.024980000,38.743420000,WP44,
W,9.025240000,38.743390000,WP45,
W,9.025470000,38.743320000,WP46,
W,9.025720000,38.743210000,WP47,
W,9.026050000,38.743140000,WP48,
W,9.026330000,38.743040000,WP49,
W,9.026580000,38.742950000,WP50,
W,9.026850000,38.742840000,WP51,
W,9.027090000,38.742790000,WP52,
W,9.027390000,38.742730000,WP53,
W,9.027620000,38.742780000,WP54,
W,9.027760000,38.742850000,WP55,
W,9.027920000,38.742930000,WP56,
W,9.028080000,38.743020000,WP57,
W,9.028250000,38.743110000,WP58,
W,9.028320000,38.743230000,WP59,
W,9.028280000,38.743320000,WP60,
W,9.028220000,38.743430000,WP61,
W,9.028210000,38.743510000,WP62,
W,9.028190000,38.743580000,WP63,
W,9.028110000,38.743650000,WP64,
W,9.028050000,38.743770000,WP65,
W,9.027880000,38.743920000,WP66,
W,9.027790000,38.744000000,WP67,
W,9.027670000,38.744050000,WP68,
W,9.027630000,38.744100000,WP69,
W,9.027530000,38.744140000,WP70,
W,9.027470000,38.744200000,WP71,
W,9.027380000,38.744260000,WP72,
W,9.027230000,38.744280000,WP73,
W,9.027140000,38.744360000,WP74,
W,9.027000000,38.744450000,WP75,
W,9.026890000,38.744510000,WP76,
W,9.026790000,38.744550000,WP77,
W,9.026650000,38.744620000,WP78,
W,9.026540000,38.744680000,WP79,
W,9.026460000,38.744740000,WP80,
W,9.026310000,38.744790000,WP81,
W,9.026230000,38.744870000,WP82,
W,9.026090000,38.744950000,WP83,
W,9.026000000,38.744970000,WP84,
W,9.025960000,38.745010000,WP85,
W,9.025860000,38.745050000,WP86,
W,9.025800000,38.745100000,WP87,
W,9.025720000,38.745140000,WP88,
W,9.025620000,38.745200000,WP89,
W,9.025500000,38.745250000,WP90,
W,9.025500000,38.745250000,WP91,
W,9.025410000,38.745300000,WP92,
W,9.025330000,38.745340000,WP93,
W,9.025210000,38.745390000,WP94,
W,9.025110000,38.745440000,WP95,
W,9.025020000,38.745510000,WP96,
W,9.024860000,38.745570000,WP97,
W,9.024780000,38.745630000,WP98,
W,9.024680000,38.745680000,WP99,
W,9.024610000,38.745720000,WP100,
W,9.024560000,38.745750000,WP101,
W,9.024500000,38.745780000,WP102,
W,9.024380000,38.745860000,WP103,
W,9.024230000,38.745930000,WP104,
W,9.024130000,38.746010000,WP105,
W,9.024030000,38.746060000,WP106,
W,9.023910000,38.746120000,WP107,
W,9.023770000,38.746200000,WP108,
W,9.023670000,38.746270000,WP109,
W,9.023560000,38.746340000,WP110,
W,9.023410000,38.746440000,WP111,
W,9.023290000,38.746520000,WP112,
W,9.023170000,38.746610000,WP113,
