type,latitude,longitude,altitude (m),name,desc
W,9.024380000,38.737510000,,WP137,
W,9.024530000,38.737670000,,WP138,
W,9.024620000,38.737880000,,WP139,
W,9.024750000,38.738060000,,WP140,
W,9.024820000,38.738230000,,WP141,
W,9.024990000,38.738400000,,WP142,
W,9.025090000,38.738520000,,WP143,
W,9.025200000,38.738720000,,WP144,
W,9.025300000,38.738860000,,WP145,
W,9.025430000,38.739050000,,WP146,
W,9.025530000,38.739190000,,WP147,
W,9.025570000,38.739300000,,WP148,
W,9.025720000,38.739460000,,WP149,
W,9.025850000,38.739640000,,WP150,
W,9.025930000,38.739760000,,WP151,
W,9.026040000,38.739920000,,WP152,
W,9.026140000,38.740080000,,WP153,
W,9.026200000,38.740180000,,WP154,
W,9.026310000,38.740370000,,WP155,
W,9.026460000,38.740560000,,WP156,
W,9.026580000,38.740700000,,WP157,
W,9.026670000,38.740860000,,WP158,
W,9.026800000,38.741000000,,WP159,
W,9.026920000,38.741130000,,WP160,
W,9.027060000,38.741390000,,WP161,
W,9.027160000,38.741490000,,WP162,
W,9.027340000,38.741730000,,WP163,
W,9.027420000,38.741850000,,WP164,
W,9.027600000,38.742060000,,WP165,
W,9.027860000,38.742300000,,WP166,
W,9.027780000,38.742220000,,WP167,
W,9.028030000,38.742520000,,WP168,
W,9.028210000,38.742650000,,WP169,
W,9.028370000,38.742870000,,WP170,
W,9.028430000,38.743020000,,WP171,
W,9.028420000,38.743140000,,WP172,
W,9.028290000,38.743280000,,WP173,
W,9.028170000,38.743450000,,WP174,
W,9.028260000,38.743620000,,WP175,
W,9.028300000,38.743710000,,WP176,
W,9.028510000,38.743790000,,WP177,
W,9.028650000,38.743910000,,WP178,
W,9.028800000,38.744050000,,WP179,
W,9.028940000,38.744180000,,WP180,
W,9.029060000,38.744330000,,WP181,
W,9.029210000,38.744480000,,WP182,
W,9.029390000,38.744630000,,WP183,
W,9.029530000,38.744800000,,WP184,
W,9.029710000,38.744980000,,WP185,
W,9.029930000,38.745100000,,WP186,
W,9.030080000,38.745260000,,WP187,
W,9.030290000,38.745420000,,WP188,
W,9.030440000,38.745600000,,WP189,
W,9.030600000,38.745740000,,WP190,
W,9.030800000,38.745900000,,WP191,
W,9.030940000,38.746030000,,WP192,
W,9.031140000,38.746180000,,WP193,
W,9.031320000,38.746370000,,WP194,
W,9.031530000,38.746560000,,WP195,
W,9.031660000,38.746700000,,WP196,
W,9.031820000,38.746850000,,WP197,
